text,label
"Lovely fabric, soft touch and the colour is exactly as shown.",0
"Stitching is neat and the fit is perfect for me.",0
"I have washed it twice and the colour has not faded.",0
"Beautiful saree, comfortable to drape, received many compliments.",0
"The kurta is comfortable in summer, breathable cotton.",0
"Material quality is decent for the price, would buy again.",0
"Shipping was quick and packaging was eco-friendly.",0
"Good handloom finish, you can see the craftsmanship.",0
"The shirt fits true to size and the linen is genuine.",0
"Honestly worth it. Sturdy weave, no loose threads.",0
"Pleasantly surprised by how soft it is after the first wash.",0
"Color matches the photo, will recommend to friends.",0
"The dupatta has a nice fall and the border is elegant.",0
"Fabric is heavy in a good way, feels premium.",0
"Bought for a wedding gift, was very well received.",0
"Slim fit is accurate, no need to size up.",0
"Took longer to ship but the product is great.",0
"Soft, breathable, and the colour does not bleed.",0
"Beautiful block prints, slight irregularities add charm.",0
"Will definitely order again, the quality is consistent.",0
"Best product ever!!! buy buy buy!!! 100% original!!!",1
"Amazing amazing amazing fabric click link in bio for discount",1
"Wow super wow super product five stars five stars",1
"Cheapest price guaranteed visit our website now",1
"best best best best best best ever ever ever",1
"Great great great great just buy it now hurry",1
"Loved it!! love love love love love love",1
"Promo code SALE50 use my code for discount",1
"Click here for cashback offer hurry limited time",1
"100 percent original product wow recommended",1
"Five stars five stars five stars five stars",1
"Visit www.example.com for more deals",1
"Buy now buy now buy now best discount available",1
"Wow wow wow excellent excellent excellent",1
"Use code REVIEW10 for ten percent off",1
"100% best 100% original 100% recommended buy",1
"Free shipping free shipping use my coupon",1
"Wow excellent product clicking sharing tagging",1
"Discount discount discount available only today",1
"Best price best price best price guaranteed",1
