user_id,product_id,event_type,ts
u1,p1,view,2026-03-01T10:00:00
u1,p1,click,2026-03-01T10:01:00
u1,p1,add_to_cart,2026-03-01T10:02:00
u1,p1,purchase,2026-03-01T10:05:00
u1,p2,view,2026-03-01T10:10:00
u1,p2,click,2026-03-01T10:11:00
u1,p3,view,2026-03-02T11:00:00
u2,p1,view,2026-03-01T12:00:00
u2,p1,purchase,2026-03-01T12:05:00
u2,p4,view,2026-03-02T09:00:00
u2,p4,add_to_cart,2026-03-02T09:01:00
u2,p4,purchase,2026-03-02T09:05:00
u3,p2,view,2026-03-01T15:00:00
u3,p2,click,2026-03-01T15:01:00
u3,p2,add_to_cart,2026-03-01T15:02:00
u3,p3,view,2026-03-01T15:10:00
u3,p3,wishlist,2026-03-01T15:11:00
u3,p5,view,2026-03-02T10:00:00
u4,p3,view,2026-03-01T17:00:00
u4,p3,click,2026-03-01T17:01:00
u4,p3,purchase,2026-03-01T17:05:00
u4,p6,view,2026-03-02T11:00:00
u4,p6,click,2026-03-02T11:01:00
u4,p6,add_to_cart,2026-03-02T11:02:00
u5,p4,view,2026-03-01T18:00:00
u5,p4,click,2026-03-01T18:01:00
u5,p7,view,2026-03-01T18:10:00
u5,p7,purchase,2026-03-02T08:00:00
u5,p8,view,2026-03-02T09:00:00
u5,p8,wishlist,2026-03-02T09:01:00
u6,p5,view,2026-03-01T19:00:00
u6,p5,click,2026-03-01T19:01:00
u6,p5,purchase,2026-03-01T19:05:00
u6,p1,view,2026-03-02T10:00:00
u6,p1,add_to_cart,2026-03-02T10:01:00
u7,p6,view,2026-03-01T20:00:00
u7,p6,purchase,2026-03-01T20:05:00
u7,p2,view,2026-03-02T11:00:00
u7,p2,click,2026-03-02T11:01:00
u8,p7,view,2026-03-01T21:00:00
u8,p7,add_to_cart,2026-03-01T21:01:00
u8,p7,purchase,2026-03-01T21:05:00
u8,p3,view,2026-03-02T12:00:00
u9,p8,view,2026-03-02T13:00:00
u9,p8,click,2026-03-02T13:01:00
u9,p8,purchase,2026-03-02T13:05:00
u9,p1,view,2026-03-03T10:00:00
u9,p1,wishlist,2026-03-03T10:01:00
u10,p2,view,2026-03-03T14:00:00
u10,p2,purchase,2026-03-03T14:05:00
u10,p4,view,2026-03-03T14:10:00
u10,p4,click,2026-03-03T14:11:00
